timestamp,scenario,deployment,label_selector,fault_type,pod_count,current_replicas,real_cpu_m,faulty_cpu_m,real_memory_mi,faulty_memory_mi,desired_replicas_cpu_clean,desired_replicas_cpu_faulty,desired_replicas_memory_clean,desired_replicas_memory_faulty
2026-04-21T20:20:46.716952+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_92.592,1,1,16.0,1481.473,585.0,54166.362,1,5,2,106
2026-04-21T20:21:01.962322+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_37.189,1,1,28.0,1041.279,585.0,21755.302,1,4,2,43
2026-04-21T20:21:17.164853+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_30.991,1,1,25.0,774.772,585.0,18129.657,1,3,2,36
2026-04-21T20:21:32.379617+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_6.066,1,1,14.0,84.924,585.0,3548.602,1,1,2,7
2026-04-21T20:21:47.522990+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_2.626,1,1,38.0,99.789,585.0,1536.224,1,1,2,4
2026-04-21T20:22:02.702634+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_11.806,1,1,19.0,224.317,585.0,6906.612,1,1,2,14
2026-04-21T20:22:18.060998+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_3.402,1,1,19.0,64.646,585.0,1990.418,1,1,2,4
2026-04-21T20:22:33.463459+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_71.292,1,1,72.0,5133.014,587.0,41848.319,1,18,2,82
2026-04-21T20:22:48.769263+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_47.459,1,1,21.0,996.645,587.0,27858.598,1,4,2,55
2026-04-21T20:23:03.902650+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_60.891,1,1,21.0,1278.702,587.0,35742.762,1,5,2,70
2026-04-21T20:23:19.288587+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_82.981,1,1,18.0,1493.659,585.0,48543.919,1,5,2,95
2026-04-21T20:23:34.496376+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_5.436,1,1,16.0,86.976,585.0,3180.059,1,1,2,7
2026-04-22T04:14:06.821355+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_55.385,1,1,10.0,553.846,562.0,31126.13,1,2,2,61,100.0,636.923,646.3,1024.0,over_provisioned,over_provisioned,False,False,553.846,31126.13,2,61,636.923,1024.0,over_provisioned,over_provisioned
2026-04-22T04:14:22.149696+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_11.855,1,1,8.0,94.843,562.0,6662.689,1,1,2,14,100.0,109.069,646.3,1024.0,over_provisioned,over_provisioned,False,False,324.344,18894.41,2,37,372.996,1024.0,over_provisioned,over_provisioned
2026-04-22T04:14:37.475062+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_53.352,1,1,8.0,426.816,562.0,29983.805,1,2,2,59,100.0,490.838,646.3,1024.0,over_provisioned,over_provisioned,False,False,426.816,29983.805,2,59,490.838,1024.0,over_provisioned,over_provisioned
2026-04-22T04:14:52.832741+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_4.593,1,1,11.0,50.521,562.0,2581.17,1,1,2,6,100.0,100.0,646.3,1024.0,over_provisioned,over_provisioned,False,False,260.829,18323.247,1,36,299.953,1024.0,over_provisioned,over_provisioned
2026-04-22T04:15:08.150326+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_17.129,1,1,16.0,274.067,562.0,9626.603,1,1,2,19,100.0,315.177,646.3,1024.0,over_provisioned,over_provisioned,False,False,274.067,9626.603,1,19,315.177,1024.0,over_provisioned,over_provisioned
2026-04-22T04:15:23.457396+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_30.389,1,1,16.0,486.225,562.0,17078.639,1,2,2,34,100.0,559.158,646.3,1024.0,over_provisioned,over_provisioned,False,False,274.067,9626.603,1,19,315.177,1024.0,over_provisioned,over_provisioned
2026-04-22T04:15:38.757427+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_37.420,1,1,10.0,374.202,562.0,21030.179,1,2,2,42,100.0,430.333,646.3,1024.0,over_provisioned,over_provisioned,False,False,374.202,17078.639,2,34,430.332,1024.0,over_provisioned,over_provisioned
2026-04-22T04:15:54.045268+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_3.071,1,1,9.0,27.642,562.0,1726.077,1,1,2,4,100.0,100.0,646.3,1024.0,over_provisioned,over_provisioned,False,False,274.067,9626.603,1,19,315.177,1024.0,over_provisioned,over_provisioned
2026-04-22T04:16:09.348711+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_11.830,1,1,11.0,130.132,562.0,6648.55,1,1,2,13,100.0,149.652,646.3,1024.0,over_provisioned,over_provisioned,False,False,274.067,9626.603,1,19,315.177,1024.0,over_provisioned,over_provisioned
2026-04-22T04:16:24.651063+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_84.527,1,1,17.0,1436.96,562.0,47504.213,1,5,2,93,100.0,1652.504,646.3,1024.0,over_provisioned,over_provisioned,True,True,258.454,11222.009,1,22,297.222,1024.0,over_provisioned,over_provisioned
2026-04-22T04:16:39.927438+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_6.776,1,1,9.0,60.981,562.0,3807.925,1,1,2,8,100.0,100.0,646.3,1024.0,over_provisioned,over_provisioned,False,False,130.132,6648.55,1,13,149.652,1024.0,over_provisioned,over_provisioned
2026-04-22T04:16:55.230448+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_59.375,1,1,11.0,653.124,562.0,33368.698,1,3,2,66,100.0,751.093,646.3,1024.0,over_provisioned,over_provisioned,True,True,130.132,6648.55,1,13,149.652,1024.0,over_provisioned,over_provisioned
2026-04-22T04:17:10.535432+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_92.976,1,1,22.0,2045.481,562.0,52252.753,1,7,2,103,100.0,2000.0,646.3,1024.0,over_provisioned,over_provisioned,True,True,130.132,6648.55,1,13,149.652,1024.0,over_provisioned,over_provisioned
2026-04-22T04:17:25.843232+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_57.319,1,1,10.0,573.193,562.0,32213.468,1,2,2,63,100.0,659.172,646.3,1024.0,over_provisioned,over_provisioned,True,True,149.869,7404.747,1,15,172.349,1024.0,over_provisioned,over_provisioned
2026-04-22T04:17:41.142900+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_99.259,1,1,12.0,1191.112,562.0,55783.74,1,4,2,109,100.0,1369.779,646.3,1024.0,over_provisioned,over_provisioned,True,True,149.869,7404.747,1,15,172.349,1024.0,over_provisioned,over_provisioned
2026-04-22T04:17:56.464485+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_13.472,1,1,12.0,161.668,562.0,7571.436,1,1,2,15,100.0,185.918,646.3,1024.0,over_provisioned,over_provisioned,False,False,153.817,7555.986,1,15,176.89,1024.0,over_provisioned,over_provisioned
2026-04-22T04:18:11.831723+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_4.382,1,1,18.0,78.871,562.0,2462.536,1,1,2,5,100.0,100.0,646.3,1024.0,over_provisioned,over_provisioned,True,True,153.027,7555.986,1,15,175.981,1024.0,over_provisioned,over_provisioned
2026-04-22T04:18:27.165484+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_32.888,1,1,17.0,559.091,562.0,18482.899,1,2,2,37,100.0,642.955,646.3,1024.0,over_provisioned,over_provisioned,True,True,153.027,7555.986,1,15,175.981,1024.0,over_provisioned,over_provisioned
2026-04-22T04:18:42.470606+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_11.860,1,1,13.0,154.176,562.0,6665.147,1,1,2,14,100.0,177.302,646.3,1024.0,over_provisioned,over_provisioned,False,True,153.817,7555.986,1,15,176.89,1024.0,over_provisioned,over_provisioned
2026-04-22T04:18:57.800608+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_39.527,1,1,9.0,355.74,562.0,22213.994,1,2,2,44,100.0,409.101,646.3,1024.0,over_provisioned,over_provisioned,True,True,154.176,7500.053,1,15,177.302,1024.0,over_provisioned,over_provisioned
2026-04-22T04:19:13.099282+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_15.046,1,1,12.0,180.55,562.0,8455.736,1,1,2,17,100.0,207.632,646.3,1024.0,over_provisioned,over_provisioned,True,True,154.176,7488.866,1,15,177.302,1024.0,over_provisioned,over_provisioned
2026-04-22T04:19:28.400892+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_31.110,1,1,12.0,373.322,562.0,17483.917,1,2,2,35,100.0,429.32,646.3,1024.0,over_provisioned,over_provisioned,True,True,154.176,7484.169,1,15,177.302,1024.0,over_provisioned,over_provisioned
2026-04-22T04:19:43.703821+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_17.410,1,1,12.0,208.924,562.0,9784.625,1,1,2,20,100.0,240.263,646.3,1024.0,over_provisioned,over_provisioned,True,True,154.176,7484.169,1,15,177.302,1024.0,over_provisioned,over_provisioned
2026-04-22T04:19:59.019123+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_45.090,1,1,12.0,541.075,562.0,25340.357,1,2,2,50,100.0,622.237,646.3,1024.0,over_provisioned,over_provisioned,True,True,153.912,7479.433,1,15,176.999,1024.0,over_provisioned,over_provisioned
2026-04-22T04:20:14.364208+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_60.984,1,1,13.0,792.789,562.0,34272.894,1,3,2,67,100.0,911.708,646.3,1024.0,over_provisioned,over_provisioned,True,True,153.859,7478.486,1,15,176.938,1024.0,over_provisioned,over_provisioned
2026-04-22T04:20:29.698743+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_35.770,1,1,10.0,357.702,562.0,20102.856,1,2,2,40,100.0,411.357,646.3,1024.0,over_provisioned,over_provisioned,True,True,153.74,7474.173,1,15,176.801,1024.0,over_provisioned,over_provisioned
2026-04-22T04:20:45.089745+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_47.310,1,1,13.0,615.029,562.0,26588.164,1,3,2,52,100.0,707.283,646.3,1024.0,over_provisioned,over_provisioned,True,True,153.74,7474.173,1,15,176.801,1024.0,over_provisioned,over_provisioned
2026-04-22T04:21:00.418203+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_51.310,1,1,11.0,564.415,562.0,28836.484,1,2,2,57,100.0,649.077,646.3,1024.0,over_provisioned,over_provisioned,True,True,153.74,7474.173,1,15,176.801,1024.0,over_provisioned,over_provisioned
2026-04-22T04:21:15.722944+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_52.361,1,1,6.0,314.164,562.0,29426.735,1,2,2,58,100.0,361.289,646.3,1024.0,over_provisioned,over_provisioned,True,True,153.74,7474.173,1,15,176.801,1024.0,over_provisioned,over_provisioned
2026-04-22T04:21:31.035809+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_15.359,1,1,8.0,122.874,562.0,8631.931,1,1,2,17,100.0,141.306,646.3,1024.0,over_provisioned,over_provisioned,True,True,153.715,7473.954,1,15,176.772,1024.0,over_provisioned,over_provisioned
2026-04-22T04:21:46.349414+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_97.881,1,1,7.0,685.164,562.0,55008.914,1,3,2,108,100.0,787.939,646.3,1024.0,over_provisioned,over_provisioned,True,True,153.686,7473.048,1,15,176.739,1024.0,over_provisioned,over_provisioned
2026-04-22T04:22:01.697839+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_34.528,1,1,8.0,276.224,562.0,19404.717,1,1,2,38,100.0,317.657,646.3,1024.0,over_provisioned,over_provisioned,True,True,153.686,7473.048,1,15,176.739,1024.0,over_provisioned,over_provisioned
2026-04-22T04:22:16.984737+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_61.856,1,1,8.0,494.849,562.0,34763.154,1,2,2,68,100.0,569.077,646.3,1024.0,over_provisioned,over_provisioned,True,True,153.696,7473.141,1,15,176.75,1024.0,over_provisioned,over_provisioned
2026-04-22T04:22:32.268438+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_97.090,1,1,10.0,970.901,562.0,54564.633,1,4,2,107,100.0,1116.536,646.3,1024.0,over_provisioned,over_provisioned,True,True,153.696,7473.141,1,15,176.75,1024.0,over_provisioned,over_provisioned
2026-04-22T04:22:47.601643+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_30.254,1,1,18.0,544.569,562.0,17002.658,1,2,2,34,100.0,626.254,646.3,1024.0,over_provisioned,over_provisioned,True,True,153.695,7473.141,1,15,176.749,1024.0,over_provisioned,over_provisioned
2026-04-22T04:23:02.941380+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_64.703,1,1,18.0,1164.647,562.0,36362.859,1,4,2,72,100.0,1339.344,646.3,1024.0,over_provisioned,over_provisioned,True,True,153.695,7473.177,1,15,176.749,1024.0,over_provisioned,over_provisioned
2026-04-22T04:23:18.249581+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_12.378,1,1,10.0,123.778,562.0,6956.318,1,1,2,14,100.0,142.345,646.3,1024.0,over_provisioned,over_provisioned,True,True,153.695,7473.203,1,15,176.749,1024.0,over_provisioned,over_provisioned
2026-04-22T04:23:33.532727+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_19.472,1,1,12.0,233.664,562.0,10943.275,1,1,2,22,100.0,268.714,646.3,1024.0,over_provisioned,over_provisioned,True,True,153.695,7473.279,1,15,176.749,1024.0,over_provisioned,over_provisioned
2026-04-22T04:23:48.842035+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_21.296,1,1,14.0,298.138,562.0,11968.122,1,1,2,24,100.0,342.859,646.3,1024.0,over_provisioned,over_provisioned,True,True,153.695,7473.279,1,15,176.749,1024.0,over_provisioned,over_provisioned
2026-04-22T04:24:04.127141+00:00,random-multiplier,teastore-recommender,app=teastore-recommender,random_multiplier_54.710,1,1,9.0,492.393,562.0,30747.204,1,2,2,61,100.0,566.252,646.3,1024.0,over_provisioned,over_provisioned,True,True,153.694,7473.254,1,15,176.748,1024.0,over_provisioned,over_provisioned
